time_min,episode,macro_updates,micro_updates,best_macro_fitness,best_micro_fitness,avg_reward
3.5762786865234374e-08,1,1,1,11408.695480537963,14488.184019797476,14488.184019797476
1.0414535681406656,2,1,2,11408.695480537963,14488.184019797476,14488.184019797476
2.071656286716461,3,1,3,11408.695480537963,14488.184019797476,14488.184019797476
3.1139962832132975,4,1,4,11408.695480537963,14488.184019797476,14488.184019797476
4.4967169205347695,5,1,5,11408.695480537963,14488.184019797476,14488.184019797476
5.619099537531535,6,1,6,11408.695480537963,14488.184019797476,14488.184019797476
6.649148817857107,7,1,7,11408.695480537963,14488.184019797476,14488.184019797476
7.724402451515198,8,1,8,11408.695480537963,14488.184019797476,14488.184019797476
8.787530314922332,9,1,9,11408.695480537963,14488.184019797476,14488.184019797476
10.043793884913127,10,1,10,11408.695480537963,14488.184019797476,14488.184019797476
11.19762848218282,11,2,11,11408.695480537963,14488.184019797476,14488.184019797476
12.342609850565593,12,2,12,11408.695480537963,14488.184019797476,14488.184019797476
13.49866380294164,13,2,13,11408.695480537963,14488.184019797476,14488.184019797476
14.669238885243734,14,2,14,11408.695480537963,14488.184019797476,14488.184019797476
15.894808367888134,15,2,15,11408.695480537963,14488.184019797476,14488.184019797476
17.15159293413162,16,2,16,11408.695480537963,14488.184019797476,14488.184019797476
18.445086415608724,17,2,17,11408.695480537963,14488.184019797476,14488.184019797476
19.757359087467194,18,2,18,11408.695480537963,14488.184019797476,14488.184019797476
21.120772965749104,19,2,19,11408.695480537963,14488.184019797476,14488.184019797476
22.538754403591156,20,2,20,11408.695480537963,14488.184019797476,14488.184019797476
23.9778609196345,21,3,21,11408.695480537963,14488.184019797476,14488.184019797476
25.39798454840978,22,3,22,11408.695480537963,14488.184019797476,14488.184019797476
26.837676318486533,23,3,23,11408.695480537963,14488.184019797476,14488.184019797476
28.291905919710796,24,3,24,11408.695480537963,14488.184019797476,14488.184019797476
29.77000603278478,25,3,25,11408.695480537963,14488.184019797476,14488.184019797476
31.282492367426553,26,3,26,11408.695480537963,14488.184019797476,14488.184019797476
32.784806632995604,27,3,27,11408.695480537963,14488.184019797476,14488.184019797476
34.284807999928795,28,3,28,11408.695480537963,14488.184019797476,14488.184019797476
35.82406454881032,29,3,29,11408.695480537963,14488.184019797476,14488.184019797476
37.35356815258662,30,3,30,11408.695480537963,14488.184019797476,14488.184019797476
38.89442973534266,31,4,31,11408.695480537963,14488.184019797476,14488.184019797476
40.44884117046992,32,4,32,11408.695480537963,14488.184019797476,14488.184019797476
42.049156999588014,33,4,33,11408.695480537963,14488.184019797476,14488.184019797476
43.617992015679675,34,4,34,11408.695480537963,14488.184019797476,14488.184019797476
45.21523551940918,35,4,35,11408.695480537963,14488.184019797476,14488.184019797476
46.782215217749275,36,4,36,11408.695480537963,14488.184019797476,14488.184019797476
48.37567921876907,37,4,37,11408.695480537963,14488.184019797476,14488.184019797476
49.981384015083314,38,4,38,11408.695480537963,14488.184019797476,14488.184019797476
51.64820705254873,39,4,39,11408.695480537963,14488.184019797476,14488.184019797476
53.22784374952316,40,4,40,11408.695480537963,14488.184019797476,14488.184019797476
54.82681123415629,41,5,41,11408.695480537963,14488.184019797476,14488.184019797476
56.387118283907576,42,5,42,11408.695480537963,14488.184019797476,14488.184019797476
57.940864916642504,43,5,43,11408.695480537963,14488.184019797476,14488.184019797476
59.483169901371,44,5,44,11408.695480537963,14488.184019797476,14488.184019797476
61.02274210055669,45,5,45,11408.695480537963,14488.184019797476,14488.184019797476
62.5403497338295,46,5,46,11408.695480537963,14488.184019797476,14488.184019797476
64.05290968418122,47,5,47,11408.695480537963,14488.184019797476,14488.184019797476
65.56704606612523,48,5,48,11408.695480537963,14488.184019797476,14488.184019797476
67.08134829998016,49,5,49,11408.695480537963,14488.184019797476,14488.184019797476
68.57597441673279,50,5,50,11408.695480537963,14488.184019797476,14488.184019797476
70.05907771587371,51,6,51,11408.695480537963,14488.184019797476,14488.184019797476
71.55000111659368,52,6,52,11408.695480537963,14488.184019797476,14488.184019797476
73.1395602186521,53,6,53,11408.695480537963,14488.184019797476,14488.184019797476
74.66160893440247,54,6,54,11408.695480537963,14488.184019797476,14488.184019797476
76.13087232112885,55,6,55,11408.695480537963,14488.184019797476,14488.184019797476
77.60956338246663,56,6,56,11408.695480537963,14488.184019797476,14488.184019797476
79.06954292058944,57,6,57,11408.695480537963,14488.184019797476,14488.184019797476
80.56083180507024,58,6,58,11408.695480537963,14488.184019797476,14488.184019797476
82.01303443511327,59,6,59,11408.695480537963,14488.184019797476,14488.184019797476
83.39055945475896,60,6,60,11408.695480537963,14488.184019797476,14488.184019797476
84.77710985342661,61,7,61,11408.695480537963,14488.184019797476,14488.184019797476
86.16339838504791,62,7,62,11408.695480537963,14488.184019797476,14488.184019797476
87.55261493126551,63,7,63,11408.695480537963,14488.184019797476,14488.184019797476
88.93205151955287,64,7,64,11408.695480537963,14488.184019797476,14488.184019797476
90.30751815239589,65,7,65,11408.695480537963,14488.184019797476,14488.184019797476
91.68571650187174,66,7,66,11408.695480537963,14488.184019797476,14488.184019797476
93.04587254921596,67,7,67,11408.695480537963,14488.184019797476,14488.184019797476
94.39663296937943,68,7,68,11408.695480537963,14488.184019797476,14488.184019797476
95.76750130256018,69,7,69,11408.695480537963,14488.184019797476,14488.184019797476
97.15300708611807,70,7,70,11408.695480537963,14488.184019797476,14488.184019797476
